benchmark,artifact,metric,value
hashmap_insert_1m,default_licm,cycles:u,326738054.0
hashmap_insert_1m,default_licm,cycles:u,326401179.0
hashmap_insert_1m,default_licm,cycles:u,325883753.0
hashmap_insert_1m,default_licm,cycles:u,326106845.0
hashmap_insert_1m,default_licm,cycles:u,328748317.0
hashmap_insert_1m,ownsem_licm,cycles:u,326749920.0
hashmap_insert_1m,ownsem_licm,cycles:u,326216556.0
hashmap_insert_1m,ownsem_licm,cycles:u,326375719.0
hashmap_insert_1m,ownsem_licm,cycles:u,326852677.0
hashmap_insert_1m,ownsem_licm,cycles:u,328104150.0
hashmap_iterate_1m,default_licm,cycles:u,14586992.0
hashmap_iterate_1m,default_licm,cycles:u,14549035.0
hashmap_iterate_1m,default_licm,cycles:u,14606903.0
hashmap_iterate_1m,default_licm,cycles:u,14561468.0
hashmap_iterate_1m,default_licm,cycles:u,14590150.0
hashmap_iterate_1m,ownsem_licm,cycles:u,14609050.0
hashmap_iterate_1m,ownsem_licm,cycles:u,14661353.0
hashmap_iterate_1m,ownsem_licm,cycles:u,14629278.0
hashmap_iterate_1m,ownsem_licm,cycles:u,14693488.0
hashmap_iterate_1m,ownsem_licm,cycles:u,14614496.0
hashmap_remove_1m,default_licm,cycles:u,609831287.0
hashmap_remove_1m,default_licm,cycles:u,608694974.0
hashmap_remove_1m,default_licm,cycles:u,610279375.0
hashmap_remove_1m,default_licm,cycles:u,610692066.0
hashmap_remove_1m,default_licm,cycles:u,611293015.0
hashmap_remove_1m,ownsem_licm,cycles:u,606026584.0
hashmap_remove_1m,ownsem_licm,cycles:u,609762067.0
hashmap_remove_1m,ownsem_licm,cycles:u,606462868.0
hashmap_remove_1m,ownsem_licm,cycles:u,608351018.0
hashmap_remove_1m,ownsem_licm,cycles:u,607146202.0
nbody_5k,default_licm,cycles:u,9815167997.0
nbody_5k,default_licm,cycles:u,9815816933.0
nbody_5k,default_licm,cycles:u,9815586795.0
nbody_5k,default_licm,cycles:u,9818566162.0
nbody_5k,default_licm,cycles:u,9817241566.0
nbody_5k,ownsem_licm,cycles:u,9813064530.0
nbody_5k,ownsem_licm,cycles:u,9616152118.0
nbody_5k,ownsem_licm,cycles:u,9815397716.0
nbody_5k,ownsem_licm,cycles:u,9815034815.0
nbody_5k,ownsem_licm,cycles:u,9772259834.0
nom-json,default_licm,cycles:u,1164722325.0
nom-json,default_licm,cycles:u,1167135879.0
nom-json,default_licm,cycles:u,1164355934.0
nom-json,default_licm,cycles:u,1252205949.0
nom-json,default_licm,cycles:u,1254509754.0
nom-json,ownsem_licm,cycles:u,1166923243.0
nom-json,ownsem_licm,cycles:u,1125026072.0
nom-json,ownsem_licm,cycles:u,1256192139.0
nom-json,ownsem_licm,cycles:u,1258027716.0
nom-json,ownsem_licm,cycles:u,1256537256.0
pinky-nes15,default_licm,cycles:u,1481505582.0
pinky-nes15,default_licm,cycles:u,1481946478.0
pinky-nes15,default_licm,cycles:u,1482195586.0
pinky-nes15,default_licm,cycles:u,1481641112.0
pinky-nes15,default_licm,cycles:u,1481488785.0
pinky-nes15,ownsem_licm,cycles:u,1480539482.0
pinky-nes15,ownsem_licm,cycles:u,1480623688.0
pinky-nes15,ownsem_licm,cycles:u,1480604901.0
pinky-nes15,ownsem_licm,cycles:u,1480501629.0
pinky-nes15,ownsem_licm,cycles:u,1480723222.0
raytracer,default_licm,cycles:u,4040425182.0
raytracer,default_licm,cycles:u,4040328324.0
raytracer,default_licm,cycles:u,4040498189.0
raytracer,default_licm,cycles:u,4039910628.0
raytracer,default_licm,cycles:u,4040659004.0
raytracer,ownsem_licm,cycles:u,4049605369.0
raytracer,ownsem_licm,cycles:u,4060429754.0
raytracer,ownsem_licm,cycles:u,4053689709.0
raytracer,ownsem_licm,cycles:u,4049019135.0
raytracer,ownsem_licm,cycles:u,4048581352.0
regex-capture-1,default_licm,cycles:u,15482884.0
regex-capture-1,default_licm,cycles:u,15483349.0
regex-capture-1,default_licm,cycles:u,15479177.0
regex-capture-1,default_licm,cycles:u,15472813.0
regex-capture-1,default_licm,cycles:u,15478423.0
regex-capture-1,ownsem_licm,cycles:u,15958700.0
regex-capture-1,ownsem_licm,cycles:u,15978079.0
regex-capture-1,ownsem_licm,cycles:u,15977659.0
regex-capture-1,ownsem_licm,cycles:u,15948223.0
regex-capture-1,ownsem_licm,cycles:u,15948990.0
regex-search-1,default_licm,cycles:u,26189884.0
regex-search-1,default_licm,cycles:u,26205638.0
regex-search-1,default_licm,cycles:u,26203712.0
regex-search-1,default_licm,cycles:u,26242980.0
regex-search-1,default_licm,cycles:u,26192206.0
regex-search-1,ownsem_licm,cycles:u,26923949.0
regex-search-1,ownsem_licm,cycles:u,26927924.0
regex-search-1,ownsem_licm,cycles:u,26905200.0
regex-search-1,ownsem_licm,cycles:u,26913056.0
regex-search-1,ownsem_licm,cycles:u,26922442.0
svg-parse-1,default_licm,cycles:u,2452937576.0
svg-parse-1,default_licm,cycles:u,2454554947.0
svg-parse-1,default_licm,cycles:u,2450654443.0
svg-parse-1,default_licm,cycles:u,2450080193.0
svg-parse-1,default_licm,cycles:u,2453780079.0
svg-parse-1,ownsem_licm,cycles:u,2481260554.0
svg-parse-1,ownsem_licm,cycles:u,2479946555.0
svg-parse-1,ownsem_licm,cycles:u,2482839088.0
svg-parse-1,ownsem_licm,cycles:u,2481788393.0
svg-parse-1,ownsem_licm,cycles:u,2482240470.0
svg-render-1,default_licm,cycles:u,780735711.0
svg-render-1,default_licm,cycles:u,780718150.0
svg-render-1,default_licm,cycles:u,780591599.0
svg-render-1,default_licm,cycles:u,780523771.0
svg-render-1,default_licm,cycles:u,782072813.0
svg-render-1,ownsem_licm,cycles:u,779219722.0
svg-render-1,ownsem_licm,cycles:u,778968636.0
svg-render-1,ownsem_licm,cycles:u,779677787.0
svg-render-1,ownsem_licm,cycles:u,779451502.0
svg-render-1,ownsem_licm,cycles:u,778874773.0
